Order_ID,Chain_Name,Food_Item_Type,City,Customer_Age,Gender,Order_Mode,Time_Slot,Veg_NonVeg,Item_Price_INR,Discount_Percent,Quantity,Total_Bill_INR,Payment_Mode,Customer_Rating,Delivery_Time_Min,Repeat_Visit,Loyalty_Points,Order_Date,Coupon_Used
FF20000,Barbeque Nation,Fried Chicken,Surat,42.0,Male,Swiggy,breakfast,NON-VEG,399,20,1,319.2,UPI,,60,Y,100,3-5-2022,Y
FF20001,Burger King,Biryani,Pune,40.0,F,Takeaway,DINNER,vegan,599.0,0,1,599.0,Cash,,40,No,150,01/01/2024,Yes
FF20002,Haldiram's,Sandwich,Pune,37.0,MALE,DINE-IN,DINNER,Non-Veg,149.0,10,2,268.2,Debit Card,2,20,YES,200,28.6.2024,Yes
FF20003,KFC,Burger,Delhi,42,male,zomato,DINNER,non-veg,199,10,3,537.3,CASH,4,45,N,NA,16-6-2021,N
FF20004,Fasos,Fried Chicken,Bangalore,26.0,female,Swiggy,breakfast,Vegan,799.0,0,3,2397.0,Credit Card,3,25,0,0,21.10.2022,N
FF20005,Wow! Momo,Momos,Ahmedabad,16.0,Male,Swiggy,Lunch,vegan,₹499,30,4,1397.2,wallet,NA,NA,YES,200,25.7.2020,Y
FF20006,Burger King,Combo,Pune,25,male,takeaway,Late Night,non-veg,199,20%,3,477.6,CASH,5,25,no,0,06/06/2024,Y
FF20007,Box8,Pizza,Hyderabad,38.0,Female,dine-in,Dinner,vegan,499.0,20%,1,399.2,Credit Card,4,25,Y,50,15/11/2019,0
FF20008,Burger King,Fried Chicken,Delhi,16,male,dine-in,Late Night,veg,99,30,4,277.2,upi,4,30 min,0,100,21.12.2023,Y
FF20009,Wow! Momo,Momos,Pune,49,MALE,Dine-In,Evening Snack,VEG,Rs.149,25,1,111.75,Debit Card,5,45,NO,100,2019-03-16,NO
FF20010,McDonald's,Burger,Chennai,31.0,MALE,delivery,DINNER,veg,Rs.199,0,4,796.0,Credit Card,4,45 min,no,50,20/12/2024,YES
FF20011,McDonald's,Burger,Surat,41.0,female,Home Delivery,Evening Snack,vegan,149,25,3,335.25,UPI,5,45,YES,200,22/06/2022,1
FF20012,Fasos,Sandwich,Delhi,19,Female,delivery,Lunch,Non-Veg,₹599,30%,4,1677.2,UPI,4,60,Yes,0,7.12.2019,0
FF20013,Barbeque Nation,Combo,Delhi, 48,Female,dine-in,breakfast,non-veg,399,25,1,299.25,Cash,1,45 min,YES,0,13/11/2022,1
FF20014,Domino's,Pizza,Pune,44.0,male,zomato,Breakfast,NON-VEG,Rs.999,20,1,799.2,wallet,5,45 min,1,200,25/09/2021,Yes
FF20015,Wow! Momo,Fries,Kolkata,50.0,male,Swiggy,Evening Snack,VEG,499,20%,1,399.2,Cash,2,NA,yes,100,27-4-2022,no
FF20016,Subway,Biryani,Kolkata,35,male,Zomato,breakfast,VEG,149,25%,4,447.0,Credit Card,4,40,no,200,3-10-2024,No
FF20017,Subway,Sandwich,Pune,22.0,female,Zomato,breakfast,NON-VEG,149,30,4,417.2,Debit Card,3,20,YES,NA,08/12/2022,0
FF20018,Subway,Biryani,Surat,27.0,female,Swiggy,Dinner,Veg,149,25,2,223.5,CASH,5,35,Yes,150,6/8/2019,No
FF20019,Burger King,Fried Chicken,Delhi,41,male,Swiggy,Breakfast,Veg,399,15,2,678.3,wallet,4,35,YES,0,4.4.2020,yes
FF20020,Haldiram's,Wrap,Jaipur,22,F,Takeaway,DINNER,non-veg,249,15,1,211.65,upi,5,45 min,No,100,9.8.2021,Yes
FF20021,Box8,Biryani,Pune,45.0,Female,dine-in,Evening Snack,vegan,499,30%,2,698.6,Debit Card,4,30,0,0,3.5.2024,1
FF20022,Haldiram's,Sandwich,Hyderabad, 33,Male,Swiggy,Dinner,VEG,99.0,0%,3,297.0,wallet,,NA,Y,100,8-8-2019,0
FF20023,Haldiram's,Dessert,Ahmedabad,36,female,dine-in,breakfast,Veg,999,10,4,3596.4,wallet,3,30,Yes,200,2/15/2023,YES
FF20024,Haldiram's,Fries,Pune, 28,male,Dine-In,Late Night,Veg,Rs.399,0,1,399.0,CASH,NA,30,Yes,50,2021-06-12,no
FF20025,Fasos,Dessert,Ahmedabad,35.0,M,Swiggy,Breakfast,vegan,599.0,10%,1,539.1,Wallet,NA,40,Yes,50,27.10.2023,No
FF20026,KFC,Fries,Pune, 21,Male,DINE-IN,DINNER,Veg,99.0,15,4,336.6,CASH,1,30 min,No,50,7-2-2021,NO
FF20027,Pizza Hut,Burger,Mumbai,49,Female,Swiggy,Breakfast,non-veg,399,30%,1,279.3,Debit Card,2,30,NO,0,11/01/2023,no
